id,city,date,TenGram24K,TenGram22K
66beeb62859b16cc9b22c442,Ahmedabad,Aug 01 2024,68930,64150
66beeb62859b16cc9b22c443,Ahmedabad,Jul 01 2024,71630,66700
66beeb62859b16cc9b22c444,Ahmedabad,Jun 01 2024,71880,66950
66beeb62859b16cc9b22c445,Ahmedabad,May 01 2024,71130,66200
66beeb62859b16cc9b22c446,Ahmedabad,Apr 01 2024,69330,64400
66beeb62859b16cc9b22c447,Ahmedabad,Mar 01 2024,63220,58710
66beeb62859b16cc9b22c448,Ahmedabad,Feb 01 2024,63620,59110
66beeb62859b16cc9b22c449,Ahmedabad,Jan 01 2024,64240,58860
66beeb62859b16cc9b22c44a,Ahmedabad,Dec 01 2023,63230,58010
66beeb62859b16cc9b22c44b,Ahmedabad,Nov 01 2023,61840,56710
66beeb62859b16cc9b22c44c,Ahmedabad,Oct 01 2023,58540,53660
66beeb62859b16cc9b22c44d,Ahmedabad,Sep 01 2023,60340,55360
66beeb62859b16cc9b22c44e,Ahmedabad,Aug 01 2023,60790,55710
66beeb62859b16cc9b22c44f,Ahmedabad,Jul 01 2023,59440,54460
66beeb62859b16cc9b22c450,Ahmedabad,Jun 01 2023,61040,56010
66beeb62859b16cc9b22c451,Ahmedabad,May 01 2023,61040,56010
66beeb62859b16cc9b22c452,Ahmedabad,Apr 01 2023,60740,55310
66beeb62859b16cc9b22c453,Ahmedabad,Mar 01 2023,56940,51910
66beeb62859b16cc9b22c454,Ahmedabad,Feb 01 2023,58840,53560
66beeb62859b16cc9b22c455,Ahmedabad,Jan 01 2023,55240,51210
66beeb62859b16cc9b22c456,Ahmedabad,Dec 01 2022,53440,49510
66beeb62859b16cc9b22c457,Ahmedabad,Nov 01 2022,50530,46700
66beeb62859b16cc9b22c458,Ahmedabad,Oct 01 2022,50530,46750
66beeb62859b16cc9b22c422,Agra,Aug 01 2024,68950,64210
66beeb62859b16cc9b22c423,Agra,Jul 01 2024,71650,66760
66beeb62859b16cc9b22c424,Agra,Jun 01 2024,71900,67010
66beeb62859b16cc9b22c425,Agra,May 01 2024,71150,66260
66beeb62859b16cc9b22c426,Agra,Apr 01 2024,69350,64460
66beeb62859b16cc9b22c427,Agra,Mar 01 2024,63460,58690
66beeb62859b16cc9b22c428,Agra,Feb 01 2024,63860,59090
66beeb62859b16cc9b22c429,Agra,Jan 01 2024,64200,58840
66beeb62859b16cc9b22c42a,Agra,Dec 01 2023,63190,57990
66beeb62859b16cc9b22c42b,Agra,Nov 01 2023,61800,56690
66beeb62859b16cc9b22c42c,Agra,Oct 01 2023,58500,53640
66beeb62859b16cc9b22c42d,Agra,Sep 01 2023,60300,55340
66beeb62859b16cc9b22c42e,Agra,Aug 01 2023,60750,55690
66beeb62859b16cc9b22c42f,Agra,Jul 01 2023,59400,54440
66beeb62859b16cc9b22c430,Agra,Jun 01 2023,61000,55990
66beeb62859b16cc9b22c431,Agra,May 01 2023,61000,55990
66beeb62859b16cc9b22c432,Agra,Apr 01 2023,60700,55290
66beeb62859b16cc9b22c433,Agra,Mar 01 2023,56900,51890
66beeb62859b16cc9b22c434,Agra,Feb 01 2023,58800,53540
66beeb62859b16cc9b22c435,Agra,Jan 01 2023,55200,51190
66beeb62859b16cc9b22c436,Agra,Dec 01 2022,53400,49490
66beeb62859b16cc9b22c437,Agra,Nov 01 2022,50470,46650
66beeb62859b16cc9b22c438,Agra,Oct 01 2022,50470,46700
66beeb62859b16cc9b22c402,Agartala,Aug 01 2024,68950,64150
66beeb62859b16cc9b22c403,Agartala,Jul 01 2024,71650,66700
