id,city,TenGram22K,TenGram24K
0,Ahmedabad,65500,70280
1,Agra,65560,70300
2,Agartala,65500,70300
3,Akbarpur,65600,70260
4,Alipore,65580,70370
5,Agar,65920,70350
6,Allahabad,65580,70270
7,Ajmer,65460,70390
8,Asansol,65580,70350
9,Ballia,65560,70300
10,Bandipore,65640,70280
11,Ahwa,65540,70320
12,Anantapur,65640,70400
13,Arrah,65590,70410
14,Baikunthpur,65810,70320
15,Balod,65830,70280
16,Akola,65680,70330
17,Araria,65570,70420
18,Baghmara,65700,70310
19,Baghpat,65560,70290
20,Arwal,65580,70380
21,Auraiya,65570,70280
22,Alipurduar,65580,70360
23,Amreli,65540,70330
24,Amroha,65580,70310
25,Amravati,65670,70320
26,Bageshwar,65610,70410
27,Ballari,65580,70280
28,Anantnag,65650,70320
29,Bahraich,65580,70260
30,Banda,65570,70260
31,Balaghat,65930,70380
32,New-delhi,65550,70390
33,Aligarh,65600,70300
34,Ampati,65700,70310
35,Anuppur,65930,70380
36,Alappuzha,65630,70370
37,Alibag,65700,70320
38,Along,65590,70340
39,Balrampur,65820,70300
40,Aizawl,65700,70330
41,Alirajpur,65930,70390
42,Alwar,65480,70390
43,Ambala,65480,70380
44,Ambikapur,65830,70310
45,Azamgarh,65570,70260
46,Anand,65540,70330
47,Anini,65590,70330
48,Ariyalur,65670,70240
49,Aurangabad,65600,70430
50,Balangir,65590,70320
51,Baloda-bazar,65830,70300
52,Balurghat,65600,70370
53,Ambassa,65540,70310
54,Balasore,65570,70340
55,Angul,65560,70340
56,Ashok-nagar,65910,70340
57,Ahmednagar,65660,70320
58,Amritsar,65500,70370
59,Almora,65650,70370
60,Amingaon,65740,70310
61,Badgam,65640,70300
62,Bagalkot,65580,70240
63,Baharampur,65590,70350
64,Baran,65480,70370
65,Baramulla,65610,70300
66,Bidar,65570,70270
67,Barasat,65600,70320
68,Beed,65680,70320
69,Bharuch,65550,70310
70,Bhind,65950,70390
71,Bishwanath-chariali,65730,70260
72,Bongaigaon,65710,70290
73,Barwani,65950,70360
74,Car-nicobar,65650,70200
75,Bardhaman,65600,70320
76,Bijnor,65570,70280
77,Buxar,65580,70390
78,Barmer,65480,70400
79,Basar,65600,70350
80,Bemetara,65830,70280
81,Chamarajanagar,65600,70250
82,Barnala,65530,70370
83,Basti,65590,70300
84,Botad,65540,70330
85,Bulandshahr,65580,70290
86,Bareilly,65600,70300
87,Bhubaneswar,65550,70340
88,Baripada,65600,70320
89,Bijapur,65810,70270
90,Chamba,65790,70350
91,Bettiah,65600,70430
92,Bhiwani,65500,70350
93,Budaun,65590,70310
94,Chachaura,65920,70360
95,Bankura,65570,70360
96,Bathinda,65550,70360
97,Bharatpur,65490,70420
98,Bhilwara,65460,70370
99,Banswara,65490,70390
100,Bilaspur,65830,70300
101,Bhopal,65900,70370
102,Bokaro,65830,70390
103,Chaibasa,65830,70400
104,Buldhana,65700,70330
105,Bargarh,65580,70340
106,Bhandara,65690,70310
107,Bhawanipatna,65580,70350
108,Bhuj,65550,70300
109,Bikaner,65460,70420
110,Bomdila,65580,70320
111,Banka,65590,70430
112,Barpeta,65740,70280
113,Boudh,65600,70330
114,Bundi,65480,70420
115,Burhanpur,65930,70370
116,Begusarai,65600,70390
117,Betul,65920,70390
118,Bhagalpur,65560,70400
119,Bhavnagar,65550,70320
120,Bishramganj,65510,70330
121,Barabanki,65600,70300
122,Belonia,65530,70280
123,Bhabua,65560,70380
124,Bhadrak,65560,70330
125,Belgaum,65560,70290
126,Bihar-sharif,65570,70400
127,Bishnupur,65870,70270
128,Chinsurah,65580,70360
129,Daman,65690,70250
130,Daporijo,65570,70330
131,Chatra,65850,70420
132,Chandel,65870,70280
133,Dantewada,65850,70280
134,Champawat,65610,70390
135,Champhai,65730,70340
136,Dibrugarh,65730,70290
137,Dahod,65530,70310
138,Chhatarpur,65950,70350
139,Datia,65910,70360
140,Debagarh,65560,70320
141,Dhanbad,65810,70400
142,Dindori,65940,70340
143,Dhubri,65750,70270
144,Dausa,65490,70380
145,Dhemaji,65720,70290
146,Chhindwara,65910,70340
147,Cuttack,65560,70330
148,Daltonganj,65850,70390
149,Davangere,65560,70290
150,Dewas,65950,70360
151,Dumka,65830,70420
152,Deoghar,65820,70420
153,Chitradurga,65560,70290
154,Chandrapur,65690,70350
155,Chandigarh,65500,70350
156,Chikmagalur,65580,70290
157,Changlang,65590,70350
158,Chandauli,65590,70290
